date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:35	1991/1991	---M--	200	added ('OK')	image/png	etag:%225a0fa8-7c7-53076043e01c0%22	http://asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/testimonials/arrow-right.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/themes/eventtime/img/testimonials/arrow-right.png	(from http://asianitbd.com/wp/eventtime/)
22:11:38	18450/18450	---M--	200	added ('OK')	image/png	etag:%225a0980-4812-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/1-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/1-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:39	16526/16526	---M--	200	added ('OK')	image/png	etag:%225a09bf-408e-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/2-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/2-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:40	21112/21112	---M--	200	added ('OK')	image/png	etag:%225a0902-5278-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/3-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/3-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:41	17032/17032	---M--	200	added ('OK')	image/png	etag:%225a0993-4288-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/4-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/02/4-2.png	(from http://asianitbd.com/wp/eventtime/)
22:11:57	105464/105464	---M--	200	added ('OK')	image/png	etag:%225a0a18-19bf8-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/8-2-316x236.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/8-2-316x236.png	(from http://asianitbd.com/wp/eventtime/)
22:12:01	136551/136551	---M--	200	added ('OK')	image/png	etag:%225a0b0c-21567-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/8-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/8-2.png	(from http://asianitbd.com/wp/eventtime/)
22:12:15	210224/210224	---M--	200	added ('OK')	image/png	etag:%225a0c98-33530-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/7-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/7-2.png	(from http://asianitbd.com/wp/eventtime/)
22:12:26	170153/170153	---M--	200	added ('OK')	image/png	etag:%225a0aae-298a9-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/7-2-316x236.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/7-2-316x236.png	(from http://asianitbd.com/wp/eventtime/)
22:12:28	166444/166444	---M--	200	added ('OK')	image/png	etag:%225a0c4b-28a2c-53076042ebf80%22	http://asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/6-2.png	C:/Users/Saloni%20Arya/Desktop/finnal%20tp/asianitbd.com/wp/eventtime/wp-content/uploads/2016/01/6-2.png	(from http://asianitbd.com/wp/eventtime/)
